Date,Complication,Name,Subtype,Quantity,Status
2023-02-23,,A+,WBC,43,2
2023-02-23,,A+,WBC,34,2
2023-02-25,,A+,WBC,32,2
2023-02-25,,A+,WBC,43,2
2023-02-25,,A+,WBC,54,2
2023-02-25,,A+,WBC,43,2
2023-02-23,,A+,Platelet,33,2
2023-02-23,,A+,Platelet,22,2
2023-02-25,,A+,Platelet,55,2
2023-02-25,,A+,Platelet,22,2
2023-02-25,,A+,Platelet,65,2
2023-02-25,,A+,Platelet,56,2
2023-02-23,Dizzy,B-,RBC,8,2
2023-02-23,,B-,RBC,34,2
2023-02-23,,B-,RBC,22,2
2023-02-23,,B-,RBC,12,2
2023-02-23,Dizzy,B-,WBC,6,2
2023-02-23,,B-,WBC,54,2
2023-02-23,,B-,WBC,44,2
2023-02-23,,B-,WBC,43,2
2023-02-23,Dizzy,B-,Platelet,4,2
2023-02-23,,B-,Platelet,33,2
2023-02-23,,B-,Platelet,33,2
2023-02-23,,B-,Platelet,54,2
